 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32
Time(s)/Cell Status, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided
21.91011235955056, 0, 4.210834, 0, 0, 11.36158, 0, 0.07943058, 1.490116e-08, 0.1242199, 0.1193845, 0.6159687, 11.02919, 0.5738045, 0, 28.84586, 0.4804466, 1.278628, 0, 0.2467777, 0.7136543, 0.974268, 7.517708, 0.2064275, 0, 0.272787, 0.8979816, 1.260811, 1.653715, 2.305938, 0.448293, 0, 8.958331, 1.047983
22.47191011235955, 0, 7.503708, 0, 0, 12.30407, 0, 0.06809765, 1.490116e-08, 0.1162083, 0.1121442, 0.5594687, 10.18819, 0.513118, 0, 27.58269, 0.4592135, 2.74279, 0, 0.2293754, 0.6667149, 0.9319211, 9.520664, 0.1933303, 0, 0.2604418, 0.8252537, 1.2024, 1.581518, 2.165118, 0.4248169, 0, 9.427359, 2.595207
23.03370786516854, 0, 8.7537, 0, 0, 12.47615, 0, 0.3034609, 2.980232e-08, 0.1087134, 0.105343, 0.5081513, 9.41131, 0.4588498, 0, 26.37483, 0.4389187, 2.595612, 0, 0.2132002, 0.6228629, 0.8914146, 9.684175, 0.1810642, 0, 0.2486554, 0.7584159, 1.146694, 1.706033, 2.032897, 0.4025701, 0, 8.335994, 2.331367
23.59550561797753, 0, 8.873268, 0, 0, 11.79521, 0, 0.2601639, 2.980232e-08, 0.1017019, 0.09895431, 0.4615409, 8.693672, 0.4103211, 0, 25.68746, 0.4195209, 2.456331, 0, 0.1981658, 0.5818952, 0.852669, 9.14942, 0.1695762, 0, 0.2374024, 0.6969915, 1.09357, 1.631551, 1.908751, 0.3814883, 0, 7.370972, 2.094349
24.15730337078652, 0, 10.67762, 0, 0, 11.15143, 0, 0.5594798, 2.980232e-08, 0.09514263, 0.09295305, 0.4192059, 8.030757, 0.3669249, 0, 24.5626, 0.4009804, 2.324524, 0, 0.1841915, 0.5436221, 0.8156073, 8.542452, 0.1588172, 0, 0.2266586, 0.6405419, 1.042906, 1.560321, 1.792186, 0.3615105, 0, 8.946105, 1.881428
24.71910112359551, 0, 13.17663, 0, 0, 11.91416, 0, 0.6296512, 2.980232e-08, 0.3207494, 0.08731575, 0.7286713, 7.41839, 0.3281184, 0, 23.48699, 0.3832592, 2.19979, 0, 0.1712026, 0.5078663, 0.7801566, 7.97575, 0.1487407, 0, 0.2164011, 0.5886641, 0.9945897, 1.645411, 1.68274, 0.342579, 0, 7.910453, 1.690153
25.28089887640449, 0, 12.53135, 0, 0, 12.0128, 0, 0.7337402, 4.470348e-08, 0.3000626, 0.08202033, 0.6618337, 6.852718, 0.2934161, 0, 22.45848, 0.3663212, 2.081749, 0, 0.1591297, 0.4744622, 0.7462468, 7.446642, 0.1393036, 0, 0.2066077, 1.631696, 0.9485117, 1.573576, 1.579977, 0.3246388, 0, 6.994695, 1.518324
25.84269662921348, 0, 11.91767, 0, 0, 12.37826, 0, 0.6290523, 2.980232e-08, 0.28071, 0.07704607, 0.6480334, 6.33018, 0.2623839, 0, 21.47502, 1.041946, 1.970042, 0, 0.1479082, 0.4432553, 0.7138108, 8.261015, 0.1304653, 0, 0.1972576, 1.499544, 0.9045684, 1.504878, 1.48349, 0.3076382, 0, 6.184949, 1.363964
26.40449438202247, 0, 13.00371, 0, 0, 11.70266, 0, 0.5393009, 2.980232e-08, 0.2626056, 0.07237348, 1.911186, 5.847486, 0.2346338, 0, 20.53462, 0.9958973, 1.86433, 0, 0.137478, 0.414101, 0.6827847, 7.712984, 0.1221877, 0, 0.1883306, 1.378095, 1.932047, 1.439178, 1.392896, 0.2915278, 0, 5.468945, 1.225297
26.96629213483146, 0, 12.71023, 0, 0, 12.20826, 0, 0.462355, 2.980232e-08, 0.3621243, 0.5933599, 2.604548, 5.4016, 0.2098185, 0, 20.9817, 0.951884, 3.263658, 0, 0.1277833, 0.3868642, 0.6531072, 7.201308, 0.1144352, 0, 0.1798076, 1.266483, 1.842538, 1.753505, 1.307833, 0.2762611, 0, 5.308909, 1.399458
